Names,Male,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn
Joseph Harrell,1,44,9814.22,1,5.45,12,2010-01-23 7:15,USCGC Bell FPO AE 94532,"Fitzgerald, Sherman and Lowe",1
Tammy Shepherd,0,48,11740,1,4.97,11,2011-03-06 1:34,"234 Gonzalez Terrace Santiagohaven, CO 28918-5500",Martin Ltd,1
Kelly Carroll,0,37,14383.36,0,7.84,10,2011-04-05 0:21,"8268 Baker Rapid Suite 712 Alexiston, TN 05207-2057","Juarez, Pugh and Vargas",1
Heidi Munoz,0,38,11887.39,0,5.83,12,2009-10-15 17:14,USCGC Mason FPO AA 96632-5067,Mckinney-Rogers,1
Thomas Sawyer,0,48,10367.08,1,6.45,12,2008-10-06 17:15,"8113 Rodriguez Court Sheribury, SC 88474","Lopez, Kelly and Armstrong",1
Erin Rivera,0,37,8198.06,1,5.04,12,2016-11-06 1:13,"34727 Randy Prairie Apt. 275 South Pamelashire, AS 63214-4216","Wilkins, White and Martin",1
Raymond Berry,0,41,7777.37,0,4.81,12,2014-01-20 8:53,"75210 Mark Mill Apt. 397 Donnamouth, MA 40404-7466","Evans, Logan and Wilson",1
Patrick Bell,0,41,11699.26,0,6.99,12,2010-03-31 14:45,"93345 Monique Tunnel Apt. 431 North Chase, NJ 30518",Clark-Kramer,1
Jason Jones MD,1,55,16838.94,1,6.66,8,2007-10-05 15:48,"52454 Jessica Passage Apt. 097 Mitchellburgh, AS 30584-9004",Brown-Richardson,1
Jermaine Johnson,0,36,10484.33,1,8.84,10,2008-04-29 9:07,"4102 Griffin Courts Middletonton, FM 48608","Dunlap, Hughes and Taylor",1
George Archer,0,37,8736.06,1,5.51,12,2014-12-23 19:38,"5645 Henderson Streets Brandystad, CA 92343",Smith Inc,1
Richard Fields,0,50,10850.78,1,5.63,9,2010-06-18 7:10,"451 Flynn Streets Morenobury, NE 64722-7132",Brown-Bishop,1
Amanda Roberts,0,43,8601.01,0,5.65,12,2007-02-03 17:52,"PSC 9561, Box 4071 APO AA 92200-5783",Evans LLC,1
David Kennedy,0,45,11170.06,1,7.76,10,2011-01-26 19:05,"56990 Laurie Gardens Suite 145 West Tara, OH 24389",Williams-Hoffman,1
Adam Waters,1,40,11185.62,0,6.26,12,2006-03-06 18:36,"6040 Juan Forge Parrishville, NJ 27948",Reed Ltd,1
Patricia Elliott,1,36,9793.42,0,5.98,9,2007-11-27 12:24,"9072 Martinez Squares Suite 404 New Emilystad, NH 26441-4895",Ortiz Ltd,1
Summer Haley,1,43,12524.68,0,5.98,10,2010-05-27 4:46,"312 Wilson Oval Suite 872 East Michaeltown, MN 40127-6212","White, Vargas and Moore",1
Brittany Jackson,0,50,12682.9,0,4.58,10,2006-09-11 7:07,"082 Roth Island Daniellefurt, DE 69027-7185",Mcdonald-Cooper,1
Shawn Chavez,0,44,14036.28,1,7.25,10,2009-01-30 1:58,"42028 Hampton Flat Apt. 206 North Samuelburgh, ME 73072","Carter, Murphy and Valenzuela",1
Laura Fleming,1,41,10179.92,1,5.97,10,2010-02-25 0:17,"7023 Courtney Lodge Suite 935 Coxtown, NE 89508","Knight, Hammond and Mccoy",1
Marcus Garza,1,46,12772.72,1,6.46,9,2010-07-03 18:56,"06806 Lyons Drive Apt. 864 Port Michaelview, MH 56506","Holland, Jones and Schmidt",1
Heather Murphy,1,46,12122.19,0,7.53,11,2015-12-30 18:49,"1264 Williams Views Suite 114 Port Isaac, VI 31105-1539","Petersen, Howard and Bowen",1
Jeffrey Hill,0,40,9922.3,1,5.07,11,2006-09-22 20:58,"97907 Jensen Forge Brianmouth, MH 69993-8000","Williams, Bautista and Carr",1
Amy Griffin,0,48,4771.65,0,3.77,12,2007-06-19 4:30,"062 Trevor Falls Suite 665 North Mathewchester, MH 93744",Larson-Hall,1
Michelle Hill,1,42,10827.96,1,4.2,10,2008-11-10 19:35,"45946 Day Springs Mendozastad, NJ 46404","Pierce, Peterson and Maldonado",1
David Rodriguez,0,38,8642.01,1,4.76,11,2014-08-13 17:14,"7318 Graham Ville Apt. 633 Gibsonview, MI 04337-6720",Walker-Baker,1
Daniel Bartlett,1,45,6749.49,0,5.88,14,2006-08-19 17:13,"353 Gregory Spur Mariaburgh, KY 66125",Owens Group,1
Cheyenne Rogers,0,36,6447.99,1,5.52,11,2009-05-07 22:19,"58379 Amber Knoll Blackburgh, MH 69646-4368",Evans LLC,1
Seth Lopez,1,44,11091.21,0,5.9,10,2007-07-10 15:33,Unit 2311 Box 4695 DPO AA 98374,Hodges LLC,1
Brittany Hopkins,1,55,5024.52,0,8.11,9,2010-02-10 10:22,"2529 King Knoll Apt. 210 Michelleshire, NH 14266",Dixon-Love,1
Carla Patterson,0,58,12376.37,0,6.01,12,2007-12-08 8:05,"350 Gregory Isle South Tinaland, WI 44398","Pittman, Watts and Fitzgerald",1
Michelle Holloway,0,49,12458.8,0,5.04,9,2013-01-21 13:44,"6431 Kimberly Harbors South Dylan, MS 05388-2846","Martinez, Clark and Jackson",1
Kenneth Bryant,1,47,7222.35,0,6.41,11,2015-06-27 10:57,"274 Randy Ports Apt. 228 Gomezside, KY 96667-1028",Davis and Sons,1
Cody Williams,0,38,11758.69,0,6.97,11,2016-08-14 18:04,USNS Lewis FPO AE 38853,"Farley, Clark and Peterson",1
Lori Ross,1,55,8772,1,6.43,10,2006-03-01 20:57,"65806 Dean Plaza Apt. 089 West Jacobfort, AR 83049","Butler, Harrison and Hall",1
David Montes,0,45,7351.38,0,5.76,11,2016-10-06 23:11,"666 Julie Ports Apt. 094 South Johntown, MO 10168-2804",Watson-Hall,1
Robin Rowe,1,30,7960.64,1,2.72,10,2016-04-15 12:08,"87953 Fuller Turnpike Apt. 510 Russellstad, MH 32784-9434","Bradley, Mejia and Williams",1
Amber Spears,0,41,13365.66,1,8.36,9,2008-07-26 3:00,"455 Garcia Via Suite 177 Lake Jefferyside, MN 81187",Gray Inc,1
Kathy Johnson,1,32,8617.98,1,6.2,10,2008-05-14 16:07,"570 Smith Mountains Hunterview, OK 46533",Jordan-Murphy,1
Thomas Rose,1,52,11849.13,0,6.8,11,2012-08-18 9:16,"9928 Lawson Court Andersonborough, KS 54353-7605","Lynch, Padilla and Myers",1
Sandra Williams,1,37,11145.95,1,5.87,11,2013-01-10 10:11,"0728 Melton Avenue Robertville, KY 71675-3667",Baker Ltd,1
Nathan Murphy,1,42,9577.42,0,5.86,11,2012-01-18 0:52,"34489 Andrew Wells North Charlesport, RI 48537",Deleon Ltd,1
Ryan Weaver,1,39,10110.4,1,5.78,13,2009-03-10 21:58,"8306 Nicole Lane Moranmouth, PR 36299","Keith, Richardson and Thomas",1
Jennifer King,1,43,8024.08,0,4.08,12,2016-02-20 7:00,"44850 Dennis Meadows Suite 044 Dariusland, IL 05918","Hunter, Reyes and Rivera",1
Theresa Berry,0,52,8563.24,0,5.29,11,2010-03-24 16:20,"1733 Theresa Port North Jason, WY 15864",Jones LLC,1
Robin Burke,0,40,9403.58,1,6.01,9,2014-07-31 1:07,"7225 James Corners Christopherville, OH 19625-4299",Patel PLC,1
Todd Thompson,1,38,12520.53,1,6.3,11,2008-10-19 9:18,"2779 Dalton Ports New James, AS 59322-0419","Guzman, Johnson and Berry",1
John Thomas,0,53,13655.59,1,2.05,10,2013-12-24 14:28,"342 Jensen Dam West Kylehaven, PW 89702-0398","Sanchez, Carter and Gross",1
Timothy Johnston,1,41,12680.46,0,5.92,11,2010-03-29 17:41,"44906 Walker Plaza Sanchezshire, AK 41013-8944","Cole, Shelton and Atkinson",1
Sarah Holloway,0,45,8429.65,1,7.1,10,2006-08-26 16:40,"099 Lopez Crescent Jamesport, OK 31273",Harrison-Ferrell,1
Scott Chambers,0,44,11424,1,5.98,10,2011-11-16 6:51,"9525 Allen Camp Apt. 362 West Dawnmouth, GA 04347","Davis, Cole and Thompson",1
Kathryn Ponce,1,46,13725.55,0,5.09,9,2006-03-04 0:11,"43798 Jones Garden Apt. 027 Monicashire, ND 82344","Cochran, Molina and Higgins",1
Patrick Robinson,1,47,7396.1,0,4.11,11,2014-03-10 6:51,"753 Sara Fall Lake Erinmouth, OK 02340-4525",Tran-Rodriguez,1
Laurie Green,0,51,8100.43,1,4.92,13,2006-01-14 1:47,"74631 Kyle Mountain Apt. 268 Andrewmouth, MI 55255","Callahan, Hinton and Murray",1
Amber Hobbs,0,43,10400.88,0,5.84,10,2013-03-28 20:04,"8044 Bates Spring Jonesborough, LA 63728","Nelson, Ray and Johnson",1
Tina King,0,40,8625.96,1,6.27,13,2008-08-07 1:50,"80203 Brandon Hill Apt. 353 New Luisport, VA 65076",Franco-Jones,1
David Hess,1,41,5192.38,1,4.86,11,2015-11-06 3:12,"PSC 1062, Box 1827 APO AA 46087-7414",Johnson-Walker,1
Jose Lee,0,45,12455.38,0,3.26,11,2015-02-24 14:54,"036 Hunter Heights Suite 701 New Rickey, HI 95539-9622",Nelson LLC,1
Brian Young,0,49,10522.21,0,7.25,14,2014-11-08 0:40,Unit 6711 Box 7964 DPO AA 27820,Munoz Ltd,1
Erica Flores,0,38,9624.18,0,5.53,12,2008-12-22 6:09,"421 Kevin Shoal Grahamport, RI 11504",Carey Ltd,1
Brenda Hall,1,37,11628.1,1,6.83,10,2010-02-20 16:08,"1877 Tara Streets West Sarah, MN 39500",Rosales Inc,1
Dakota Williams,0,41,13190.3,1,7.38,10,2012-09-12 14:15,"22194 Hernandez Roads Hubbardville, MH 97331-5191","Hughes, Evans and Richardson",1
Tammy Reed,1,49,13173.8,1,6.36,12,2007-10-09 18:07,"3067 Lindsay Road Apt. 683 Port Jonathan, NY 84626-8850",Russo-Rivas,1
Devin Cook,1,29,8688.17,1,5.7,9,2015-02-05 11:35,"237 Antonio Lock Lake Christianville, IN 42022",Fleming LLC,1
Joseph Mitchell,1,40,11434.61,1,8.51,10,2009-11-17 23:38,"3422 Zhang View Estradabury, SC 66970-2923",Lee LLC,1
Brett Allen MD,1,45,12309.39,1,4.57,11,2008-02-07 15:42,"03559 Rodriguez Prairie Apt. 826 Rachelfurt, ND 85441",Brown-Rangel,1
Daniel Bates,0,30,10744.14,1,7.16,9,2008-09-13 11:53,"488 Lewis Village Crawfordborough, WY 43563",Hunt PLC,1
Chelsea Ward,1,43,12104.25,0,5.86,7,2009-09-27 4:12,"5279 Grace Mountain Loriland, IL 83900","Hatfield, Johnson and George",1
Ryan Richardson,0,45,11599.27,1,4.78,11,2006-11-22 21:46,"31574 Sarah Pine Apt. 359 Harryside, NJ 02405-8870",Cross-Jones,1
Stephen Callahan,1,42,6635.19,0,6.68,11,2006-07-24 18:29,USS Booth FPO AP 73462,Shaw-Rivera,1
Mrs. Melinda Davila,1,51,10978.16,1,6.95,11,2013-08-10 2:49,"5843 Byrd Corner Monicaport, SC 44357",Perry and Sons,1
Carla Howell,1,44,13743.27,0,7.8,11,2011-06-11 0:48,"55353 Barker Burg East Willietown, HI 30805","Edwards, Webster and Gross",1
Eric Kelley,0,43,10271.19,1,5.31,14,2011-07-19 10:28,"98472 Meghan Mall Port Lauren, LA 49472","Santos, Hoffman and Harper",1
Randy Hayes,0,43,6715.23,0,4.16,8,2007-02-17 15:33,"PSC 1001, Box 5072 APO AP 43490",Taylor-Vaughn,1
Jeffrey Glenn,0,50,10199.44,0,5.79,9,2012-10-09 17:29,"6431 Caldwell Spring Port Gregorymouth, VI 76545-9829",Medina-Dominguez,1
Megan Tucker,0,38,11386.56,0,8.82,9,2011-11-20 17:11,"63080 Christopher Fork Suite 353 Jacobshire, TN 98279-1399",Taylor-Guerrero,1
Michael Acosta,1,49,12112.53,0,7.31,9,2012-03-03 18:57,"73511 James Skyway Apt. 750 Port Scott, FM 96780",Ward-Bennett,1
Eileen Reyes,0,34,9228.84,1,5.29,12,2006-11-25 12:38,"0235 Taylor Lakes Suite 365 East Michaelfort, AL 61409-7098",Curtis PLC,1
Mr. Jerome Dawson,0,36,6330.43,1,5.43,7,2010-08-24 0:52,"675 Jones Viaduct Samanthastad, MT 88716-7510",Oconnell LLC,1
Katie Sutton,0,40,11611.51,1,5.64,14,2010-06-19 16:02,"564 Amanda Park Apt. 388 Watsonport, NJ 61471-7559",Patrick Inc,1
Dr. Kylie Mccann,1,37,8397.41,0,5.59,12,2008-06-07 21:35,"150 Steven Center Port Randallshire, SC 42333-2817",Shepherd LLC,1
Jose Kelly,0,49,9714.47,0,5.7,9,2014-11-04 4:05,"205 Lewis Ports Suite 146 New Lukehaven, NE 61616","Fisher, Torres and Ramsey",1
Nicholas Levy,0,51,11602.11,1,5.3,10,2012-04-06 10:12,"668 Walker Trace Apt. 580 Samanthaside, FL 56884",Pruitt-Thompson,1
Jennifer Carrillo,0,35,12871.79,0,4.64,12,2006-03-25 1:04,"659 Robertson Lake Lake Peggy, CT 28993",Ingram-Swanson,1
April Freeman,1,41,9923.79,1,4.75,13,2011-08-28 3:41,"16914 Oconnell Forge Apt. 477 Atkinsonmouth, MD 32666","Larson, Ross and Ward",1
Hunter Rivera,0,26,8787.39,1,5.42,11,2014-12-18 19:58,"233 Mark Vista New Russellbury, FL 08810","Tate, Hall and Moreno",1
Travis Ellis,1,46,12200.31,0,6.62,10,2010-10-20 0:12,"730 Doris Drive Suite 569 Port Adam, KY 42352",Ramirez-Mendoza,1
Tommy Frey,0,38,8825.87,1,8.97,10,2008-01-06 9:57,"200 Craig Spur Suite 465 Wadeton, NC 47363",Garcia-Owens,1
Nicole Friedman,0,44,8615.52,0,7.39,9,2006-10-19 23:02,"77755 John River Kendrafurt, MP 02175-9994","Miranda, Summers and Moran",1
James Newman,1,35,9766.95,1,4.59,13,2008-02-29 14:17,"1317 Dillon Gardens Michaelville, ME 91569-7889","Griffin, Tucker and Lee",1
Stephanie Gonzales,1,36,11550.29,0,6.46,13,2014-01-13 5:18,"437 Alex Glens Melindaburgh, ID 78010-8240",Young-Dunn,1
Mary Aguilar,1,50,6244.75,0,4.64,11,2015-12-18 13:28,Unit 6345 Box 0137 DPO AP 41134-6292,Lee-Aguilar,1
Jordan Owens,0,45,9459.52,0,5.72,9,2015-07-30 2:34,"018 Kristy Mountain Lindseymouth, LA 51400",Reyes PLC,1
Devin Wilson,1,46,11222.48,0,4.92,9,2011-02-18 18:11,"97426 Carrie Stravenue East Cassandrafort, WV 23196",Cooke Ltd,1
Samantha Fisher,0,38,14693.45,1,7.01,10,2011-11-02 16:47,"961 Wright Plains Kimberlyborough, AL 59809","Morris, Owens and Sullivan",1
Monique Medina,0,49,15005.43,1,5.27,12,2012-07-27 0:30,"22013 Matthew Square Johnsonland, LA 27505-9242",Martin-Harris,1
Nathan Gross,0,42,10276.33,1,6.54,11,2007-07-01 5:53,"1136 Beasley Mountains Apt. 622 Smithton, UT 09411-9465","Robinson, Brown and Stephens",1
Douglas Joseph,1,44,8474.11,0,6.61,14,2012-10-01 8:10,Unit 9630 Box 8710 DPO AP 69319,Clark PLC,1
Elizabeth Moore,0,47,8235.74,1,6.2,10,2007-10-23 5:18,"582 Kimberly Lodge Apt. 082 East Victoriastad, NH 73555","Young, Porter and Hill",1
Adam Gomez,0,48,6495.01,1,5.57,12,2013-02-06 5:15,"2889 Coffey Parks Browningmouth, VT 14924-9744",Thompson Group,1
Timothy Harvey,1,45,8099.29,1,5.66,10,2008-06-10 14:07,"6596 Ronald Union West Courtney, ND 47185","Scott, Ward and Brown",1
Adam Strong,0,50,11775.75,1,4.83,10,2011-02-06 15:02,"33071 Melody Isle East Matthew, WV 08980-8853",Harvey-Mcdowell,1
Charles Whitney,1,39,8667.02,0,6.82,10,2009-10-23 10:27,"8006 Erin Pass Apt. 415 South Karen, LA 27331-0907",Christensen-Mccann,1
Lisa Davis,0,55,9000.31,1,6.78,10,2008-05-23 1:04,"PSC 5306, Box 1682 APO AP 03229",Obrien PLC,1
Jacob Escobar,0,50,14398.89,1,5.54,12,2007-11-13 17:10,"4182 Mercer Plains Apt. 624 New Lindsey, WA 84468",White-Dennis,1
Douglas Padilla,0,38,10863.05,1,5.59,11,2008-04-28 1:11,"063 Andrew Harbor New Kathleenbury, AR 48898",Martinez Ltd,1
Russell Bauer,1,38,7287.57,1,7.39,11,2007-04-22 6:22,"83221 Hendricks Highway Garciastad, OR 20046-4343",Chambers-Simmons,1
Jessica Horton,0,43,6992.09,1,6.84,11,2010-04-21 18:41,Unit 7652 Box 7117 DPO AP 06955-1878,Jackson Group,1
Alexis Hill,1,39,6351.79,0,5.86,6,2012-03-24 16:13,"335 Dyer Shoals Port Patricia, PR 84461-1647",Campbell and Sons,1
Heather Hickman,1,31,11297.57,1,6.23,10,2015-03-17 22:32,"7259 Brown Street Apt. 385 Monicaport, GU 05916-8374",Moore LLC,1
Steven Stevenson,1,52,7460.05,0,5.39,12,2013-10-17 21:48,"61756 Walls Ridges East James, IA 34568",George Inc,1
Hailey Sanchez,0,41,14429.41,1,5.51,11,2007-09-29 0:43,"78018 Ariana Crest Suite 467 North Tamara, IA 84527",Evans-Wagner,1
Randall Weber,0,34,12983.26,1,6.53,13,2007-10-14 20:54,"447 Lane Street Apt. 689 East Christopher, MI 80796","Torres, Villanueva and Velasquez",1
Anna Bryant,1,39,8801.86,1,4.43,10,2007-03-18 11:14,"30668 Isabella Freeway Suite 428 Lake Kellyhaven, MP 89074-5017",Bennett Inc,1
Robert Russo,0,58,9703.93,0,5.16,11,2010-03-02 16:11,"976 Thomas Garden Lake Chad, DC 12638-0139",Hanna-Leonard,1
Tara Burton,1,49,11177.08,0,4.44,12,2008-01-07 5:11,"713 William Loaf New Christopher, DC 71560-8742",Reed-Fields,1
Yvette Perry,1,41,8560.76,1,3.99,12,2015-05-09 18:48,"83457 Davis Flats Morachester, GU 52752",Moore and Sons,1
Michael Williams,0,35,15571.26,0,6.45,9,2011-12-02 20:13,"5728 Michael Rue Riosland, NY 38804-1415",Petty and Sons,0
Connie Golden,1,39,10268.87,1,3.68,6,2009-08-19 18:52,"3324 Gomez Knolls Suite 591 Farmerchester, LA 37647",Brown-Wagner,0
Seth Griffin,0,44,12328.03,1,4.6,9,2006-08-29 2:24,"9436 Warner Mill Suite 265 Port Kenneth, OH 00175-5756",Williams PLC,0
Rachel Cherry,1,52,9782.83,0,3.96,7,2012-04-17 10:47,"3479 Stewart Way Sandersside, ID 69317-8759","Bishop, Tran and Pope",0
Robert Sanders,0,29,9378.24,0,4.93,8,2015-08-06 22:29,"8199 Christopher Tunnel Suite 537 Warnerside, IN 29023-3624","White, Jones and Nelson",0
Chris Sutton,0,37,10314.67,1,5.86,8,2016-06-22 19:20,"858 Booth Points South Davidside, AZ 92136-1145",Collins Ltd,0
Kenneth Alexander,0,30,8403.78,1,4.13,7,2006-06-28 9:26,"032 Jorge Trail Apt. 091 Brianmouth, ID 23964",Torres Inc,0
Jason Taylor,0,46,5570.45,0,2.23,7,2012-05-01 6:20,"693 Kevin Groves Apt. 158 Debramouth, NV 73809","Moore, Nichols and Miller",0
Dennis Morgan,0,43,8042.76,0,4.95,8,2006-04-29 20:25,"00103 Jeffrey Crest Apt. 205 Padillaville, IA 90755","Barry, Jordan and Hall",0
Penny Perez,1,44,10309.15,1,6.35,9,2006-01-10 18:04,"725 Stephanie Springs Apt. 350 South Brianbury, MP 98006",Davis-Travis,0
Erin Gilbert,1,35,12357.31,0,5.03,10,2014-08-06 19:11,"7098 Vicki Lane Suite 339 South Dominic, NM 43022-5425","Ware, Williams and Hill",0
Sean Macias,1,47,11306.1,0,6.01,7,2006-07-02 23:47,"911 Kent Point Anthonytown, KS 47499",Jimenez Group,0
Christina Lewis,1,32,13630.93,0,4.38,10,2014-01-03 0:55,"273 Alexander Burg Suite 754 New Alexandrachester, DE 41261-1457","Thompson, Shelton and Pena",0
Lori Jackson,1,36,12284.58,1,5.7,9,2015-12-07 10:18,"19131 Robinson Mission Apt. 384 Smithview, AS 99303",Webb PLC,0
Mark Murray,0,39,8930.49,1,5.71,10,2014-12-10 9:22,"3444 Delgado Squares Apt. 967 Pageville, MI 59677",Lawson Inc,0
Dana Lewis,1,43,10578.14,0,1.87,10,2008-05-28 8:06,USNV Soto FPO AA 90235-3866,"Murphy, Park and Boyer",0
Dr. Michael Contreras,1,45,10364.82,0,5.93,5,2016-08-22 5:47,"53891 Paula Corners Apt. 946 West Michael, ME 42796-1668",Holt-Rogers,0
Rebecca Rasmussen,1,33,7750.54,1,4.57,8,2012-07-19 13:34,"PSC 2978, Box 1358 APO AP 49912-3876",Rodriguez-Flynn,0
Melanie Turner,0,48,10963.5,1,5.89,9,2008-03-07 10:48,"3987 Douglas Garden South Amanda, LA 99160-1676",Gates Ltd,0
Jeffery Ferguson,0,32,12547.91,0,7.78,10,2011-12-22 17:51,"1599 Rush Crescent Apt. 982 Bowmanchester, TX 33118-6129",Watts Ltd,0
Brenda Haley,1,41,14069.41,1,1.62,10,2010-10-14 7:46,USS Barr FPO AE 09092,Forbes LLC,0
William Taylor,1,44,9723.71,0,4.34,9,2012-06-30 10:01,"499 Contreras Estates Suite 640 Tylertown, NY 97261",Stewart Inc,0
William Lyons,0,43,6298.75,1,4.51,9,2015-03-26 0:41,"2758 Williams Heights Apt. 571 Colleenton, AK 36124-5765","Brown, Conner and Torres",0
Bobby Christian,1,35,12107.03,0,5.82,9,2011-03-12 7:37,"PSC 8568, Box 1611 APO AA 56585-0874","Freeman, Lam and Jenkins",0
Victoria Medina,0,43,11674.12,0,2.88,8,2012-10-24 2:46,"816 Jeremy Bridge Apt. 543 New Michelleville, VI 50678",Walters-Sanders,0
William Haney,1,56,12502.81,0,5.47,8,2007-08-09 17:54,"143 Andrea Flat Lake Michael, ID 33149","Powell, Erickson and Rush",0
Alan Gray,0,29,9617.59,0,5.49,8,2013-02-19 3:23,"9278 Jenna Ways Apt. 628 West Ryan, AZ 06819-5978",Mendoza Inc,0
Jessica Johnson,1,36,13472.79,1,4.77,8,2006-02-14 22:16,"PSC 8132, Box 3379 APO AA 45232-2030",Young and Sons,0
Joshua Tran,1,49,9805.7,0,4.86,9,2011-04-29 16:53,"7774 Gonzalez Camp Suite 326 Lake Nathan, CA 46393-3674",Harris Group,0
Lisa Harmon,0,31,11743.24,0,5.3,6,2010-06-06 5:12,"2190 Fox Mountains North Jennifer, WV 75027-6097",Le LLC,0
Stephen Jenkins,0,30,12788.37,0,4.31,10,2009-08-22 20:21,USNV Perry FPO AE 07826-0914,Everett-Taylor,0
Misty Tate,0,40,5218.49,0,3.8,10,2006-11-16 4:13,"12915 Jeffrey Canyon Blackshire, AS 18084",Soto PLC,0
Isaiah Noble,1,44,10526.18,0,7.67,9,2009-09-21 12:50,"08820 Foster Via Suite 564 Barkerview, ME 82495-3527",Taylor-Bradley,0
